lnlik,n_par,aic,aicc
sxd_fit77,-201.932655496614,7,417.865310993228,419.796345475987
d_fit78,-189.537362568883,5,389.074725137766,390.074725137766
sd_fit78,-188.708369267712,6,389.416738535424,390.840467348983
sxd_fit78,-188.70879728377,7,391.41759456754,393.348629050299
d_fit79,-201.91181916069,5,413.82363832138,414.82363832138
sd_fit79,-201.393165196979,6,414.786330393958,416.210059207517
sxd_fit79,-201.213421371503,7,416.426842743006,418.357877225765
d_fit80,-188.998699445479,5,387.997398890958,388.997398890958
sd_fit80,-187.557206266941,6,387.114412533882,388.538141347441
sxd_fit80,-187.138185885192,7,388.276371770384,390.207406253143
d_fit81,-185.499656356152,5,380.999312712304,381.999312712304
sd_fit81,-183.984650032377,6,379.969300064754,381.393028878313
sxd_fit81,-183.983562902481,7,381.967125804962,383.898160287721
d_fit82,-202.147023990577,5,414.294047981154,415.294047981154
sd_fit82,-200.265717016747,6,412.531434033494,413.955162847053
sxd_fit82,-200.265776718803,7,414.531553437606,416.462587920365
d_fit83,-190.94312541252,5,391.88625082504,392.88625082504
sd_fit83,-189.937072388469,6,391.874144776938,393.297873590497
sxd_fit83,-189.683515752054,7,393.367031504108,395.298065986867
d_fit84,-196.092504946772,5,402.185009893544,403.185009893544
sd_fit84,-195.529500912434,6,403.059001824868,404.482730638427
sxd_fit84,-195.530504972685,7,405.06100994537,406.992044428129
d_fit85,-187.192017678532,5,384.384035357064,385.384035357064
sd_fit85,-186.053311950901,6,384.106623901802,385.530352715361
sxd_fit85,-185.79263146597,7,385.58526293194,387.516297414699
d_fit86,-183.487176910395,5,376.97435382079,377.97435382079
sd_fit86,-182.312683252082,6,376.625366504164,378.049095317723
sxd_fit86,-182.314403636545,7,378.62880727309,380.559841755849
d_fit87,-171.277115384746,5,352.554230769492,353.554230769492
sd_fit87,-168.956996941516,6,349.913993883032,351.337722696591
sxd_fit87,-168.958947763173,7,351.917895526346,353.848930009105
d_fit88,-201.068171755819,5,412.136343511638,413.136343511638
sd_fit88,-199.155225468468,6,410.310450936936,411.734179750495
sxd_fit88,-199.156559134907,7,412.313118269814,414.244152752573
d_fit89,-191.94205153475,5,393.8841030695,394.8841030695
sd_fit89,-191.092951709486,6,394.185903418972,395.609632232531
sxd_fit89,-190.903989977702,7,395.807979955404,397.739014438163
d_fit90,-186.206642607194,5,382.413285214388,383.413285214388
sd_fit90,-184.937758991009,6,381.875517982018,383.299246795577
sxd_fit90,-184.593540539384,7,383.187081078768,385.118115561527
d_fit91,-188.104623785061,5,386.209247570122,387.209247570122
sd_fit91,-186.096472220205,6,384.19294444041,385.616673253969
sxd_fit91,-185.728526039979,7,385.457052079958,387.388086562717
d_fit92,-188.33974127136,5,386.67948254272,387.67948254272
sd_fit92,-187.114376317628,6,386.228752635256,387.652481448815
sxd_fit92,-187.115134390727,7,388.230268781454,390.161303264213
d_fit93,-199.051304444777,5,408.102608889554,409.102608889554
sd_fit93,-198.059792023641,6,408.119584047282,409.543312860841
sxd_fit93,-198.059926466494,7,410.119852932988,412.050887415747
d_fit94,-200.45442500507,5,410.90885001014,411.90885001014
sd_fit94,-198.992130766947,6,409.984261533894,411.407990347453
sxd_fit94,-198.992143321569,7,411.984286643138,413.915321125897
d_fit95,-190.913967652061,5,391.827935304122,392.827935304122
sd_fit95,-189.789951300413,6,391.579902600826,393.003631414385
sxd_fit95,-189.688959789361,7,393.377919578722,395.308954061481
d_fit96,-199.166175001001,5,408.332350002002,409.332350002002
sd_fit96,-198.110596010452,6,408.221192020904,409.644920834463
sxd_fit96,-198.110850814054,7,410.221701628108,412.152736110867
d_fit97,-197.40932210031,5,404.81864420062,405.81864420062
sd_fit97,-196.374755112018,6,404.749510224036,406.173239037595
sxd_fit97,-196.372088809659,7,406.744177619318,408.675212102077
d_fit98,-189.878436491547,5,389.756872983094,390.756872983094
sd_fit98,-188.768913163848,6,389.537826327696,390.961555141255
sxd_fit98,-188.371644379462,7,390.743288758924,392.674323241683
d_fit99,-195.301112473352,5,400.602224946704,401.602224946704
sd_fit99,-194.387591977121,6,400.775183954242,402.198912767801
sxd_fit99,-194.38815299287,7,402.77630598574,404.707340468499
