AF-endemic,widespread
15693.0116094365,15570.5611247802
16880.2639961142,17829.8101303591
15835.3906728704,17762.7028927685
14028.7493928556,14602.6857054805
16089.955825566,15749.4630137328
17454.3295097783,15856.6895927441
16833.3917258786,16659.5172210218
17898.6006542784,16933.841679265
16250.6402601542,15520.641801609
15057.691287466,14829.8649162655
18327.7935650949,16331.1431257522
16688.3732059641,16258.6557695629
17552.6600511538,16834.5564727372
13309.6226030311,12971.2986721944
18625.6119449308,16642.0664794851
13616.2907043094,14790.067431551
13161.5359123229,15160.2151328123
17933.1273998537,16975.5707162919
17307.7871044718,15793.2666086946
19095.0903243089,17071.3903735567
16003.2776853636,16980.3718776866
14095.819286411,15302.2659798258
16444.1798556151,15788.4614243411
17886.1377462376,17041.4575646595
16028.9251590142,16851.3099397738
13749.3032162838,13262.0043834881
13971.1989343548,14326.9884150582
12283.3298561221,14331.9815547434
14757.853377528,14043.5774902297
16258.6819628721,16766.6898910209
15807.0432067465,15108.628201501
16605.43571054,15668.9703316463
13847.0504576068,14946.1933512008
16149.7348980797,16215.4605661793
13753.2680784833,13888.6470325612
15263.6421952755,15149.6270418478
13348.1936476801,13468.7391385101
15766.0857762114,15027.0373730547
15123.9001250265,15511.7364838744
12957.4695634695,13991.304899231
16054.9833253658,16256.6965407784
14938.2734953857,15246.4635575293
17317.2457306609,16582.8217275348
19518.0866408938,18392.1850186934
16263.3706663173,16395.6939885413
15095.7679322165,16331.8232529253
16441.5231633143,16705.1976027563
14447.220491405,15756.5671880759
14240.1494179994,13629.0625193905
15793.5983762293,15301.7374473928
14366.7288069912,14257.3011134785
16592.3686393529,17525.9993557765
17498.5000491894,15368.4417932117
18156.5013875713,18407.6501173641
14549.7372679617,14779.1701204989
15873.3278180091,16384.9694216608
14680.5707962103,14885.1451398503
14701.2085022747,15648.9095730816
14122.709105424,14231.4811662333
14730.2898989163,15447.9829304874
15678.6485830108,15536.5023396916
17852.9578965926,16919.7182399438
16655.9490005578,16381.4599561082
18022.490887669,17023.0915208078
16361.662865007,16526.8058214386
16673.77324476,17049.842204127
12561.1706434572,15477.5015085465
18991.4786988528,16538.237264557
14445.3252325779,15834.3837801557
14578.5898685442,16008.3945536263
12420.1665000191,14052.6897553147
19388.6022849992,17857.1858824516
15409.1916894071,14697.4080869696
15364.4846065871,15768.2078368947
14795.0365232547,14125.7133872448
14130.3160114014,16292.4259465363
13017.0319530092,15395.0955105253
17025.6358064052,17674.842692111
13799.6320914066,15715.5599779395
19038.387271903,17060.9229565324
16124.3586901987,15424.5074653473
