state,mean_no,intercept_no
other,0.527704050332011,0.554275123373588
AF,0.77086113922157,0.713564539306531
AFother,0.626982562675581,0.586954799697298
other,0.490510680285347,0.492121538934945
AF,0.762741900715245,0.78940282925518
AFother,0.630374700269098,0.58370983099432
other,0.540134135237235,0.645276699928862
AF,0.786882418852087,0.732363362553007
AFother,0.647596045361448,0.606650671408261
other,0.527608776237025,0.6539172413665
AF,0.787904291726844,0.910404266994865
AFother,0.639544106073487,0.599861743868213
other,0.530534927827282,0.596569114450035
AF,0.784676357029867,0.72542033310845
AFother,0.671379376615809,0.579065041829554
other,0.525920240081454,0.648301798227947
AF,0.763254998211915,0.893565529063282
AFother,0.633402757516461,0.568031605383035
other,0.494944397705391,0.596213231186112
AF,0.769977683437115,0.953591809227452
AFother,0.629547056156258,0.623427341318851
other,0.492506223381512,0.632081359764397
AF,0.785464155896931,0.75803737320035
AFother,0.637366422839563,0.581311698285912
other,0.52684401378357,0.600258819208839
