lnlik,n_par,aic,aicc
sxd_fit70,-175.144823350963,7,364.289646701927,364.013784632961
d_fit71,-175.076914571385,5,360.153829142769,359.953829142769
sd_fit71,-172.784427824025,6,357.568855648051,357.331567512457
sxd_fit71,-172.372187687659,7,358.744375375317,358.468513306352
d_fit72,-181.586772333944,5,373.173544667888,372.973544667888
sd_fit72,-180.088664198243,6,372.177328396486,371.940040260893
sxd_fit72,-180.088674075727,7,374.177348151454,373.901486082489
d_fit73,-180.065626298385,5,370.131252596769,369.931252596769
sd_fit73,-177.160741705556,6,366.321483411113,366.084195275519
sxd_fit73,-175.713737929967,7,365.427475859933,365.151613790968
d_fit74,-173.907387160611,5,357.814774321223,357.614774321223
sd_fit74,-172.266216294662,6,356.532432589324,356.295144453731
sxd_fit74,-172.265601816704,7,358.531203633409,358.255341564443
d_fit75,-162.172527955494,5,334.345055910988,334.145055910988
sd_fit75,-160.516872042169,6,333.033744084338,332.796455948745
sxd_fit75,-160.518515066505,7,335.03703013301,334.761168064045
d_fit76,-189.456703810545,5,388.91340762109,388.71340762109
sd_fit76,-187.724560154861,6,387.449120309723,387.21183217413
sxd_fit76,-187.724559122571,7,389.449118245142,389.173256176176
d_fit77,-187.311745371975,5,384.62349074395,384.42349074395
sd_fit77,-185.906554950364,6,383.813109900728,383.575821765135
sxd_fit77,-185.906644524728,7,385.813289049456,385.53742698049
d_fit78,-175.370015117938,5,360.740030235876,360.540030235876
sd_fit78,-174.312648608085,6,360.625297216169,360.388009080576
sxd_fit78,-174.303854639922,7,362.607709279844,362.331847210879
d_fit79,-187.921066946585,5,385.84213389317,385.64213389317
sd_fit79,-186.97900482447,6,385.95800964894,385.720721513347
sxd_fit79,-186.741582400818,7,387.483164801635,387.20730273267
d_fit80,-173.077129386419,5,356.154258772838,355.954258772838
sd_fit80,-171.196972307281,6,354.393944614563,354.156656478969
sxd_fit80,-170.751838980901,7,355.503677961803,355.227815892837
d_fit81,-172.269767811696,5,354.539535623393,354.339535623393
sd_fit81,-170.783676006549,6,353.567352013099,353.330063877505
sxd_fit81,-170.713549948042,7,355.427099896084,355.151237827119
d_fit82,-188.22810489916,5,386.456209798319,386.256209798319
sd_fit82,-185.804958693721,6,383.609917387443,383.37262925185
sxd_fit82,-185.800739499116,7,385.601478998231,385.325616929266
d_fit83,-174.935048625086,5,359.870097250172,359.670097250172
sd_fit83,-173.278725378403,6,358.557450756805,358.320162621212
sxd_fit83,-173.278744414292,7,360.557488828584,360.281626759619
d_fit84,-183.065667224943,5,376.131334449886,375.931334449886
sd_fit84,-182.232156843752,6,376.464313687505,376.227025551911
sxd_fit84,-182.232217287223,7,378.464434574446,378.188572505481
d_fit85,-172.416235797677,5,354.832471595353,354.632471595353
sd_fit85,-170.696150902876,6,353.392301805751,353.155013670158
sxd_fit85,-170.598921860141,7,355.197843720282,354.921981651316
d_fit86,-170.42184197031,5,350.843683940619,350.643683940619
sd_fit86,-169.047822183995,6,350.09564436799,349.858356232396
sxd_fit86,-169.047827891594,7,352.095655783188,351.819793714223
d_fit87,-157.373720923121,5,324.747441846241,324.547441846241
sd_fit87,-154.928876040577,6,321.857752081155,321.620463945562
sxd_fit87,-154.928885624092,7,323.857771248183,323.581909179218
d_fit88,-187.405683983477,5,384.811367966954,384.611367966954
sd_fit88,-185.002965647357,6,382.005931294715,381.768643159122
sxd_fit88,-184.989946040331,7,383.979892080662,383.704030011696
d_fit89,-176.359301870716,5,362.718603741432,362.518603741432
sd_fit89,-175.12897928543,6,362.257958570859,362.020670435266
sxd_fit89,-175.128980650798,7,364.257961301596,363.982099232631
d_fit90,-171.908702705505,5,353.81740541101,353.61740541101
