state,mean_ro,intercept_ro
other,0.808786824563561,0.699592120814289
AF,0.721498389055858,0.786691808263425
AFother,0.88050179934749,0.830368250077423
other,0.808786824563561,0.682196650977429
AF,0.720733925623502,0.988404124345196
AFother,0.905794267088732,0.875862218786791
other,0.768786824563561,0.695685230587997
AF,0.715613965725329,0.795742851215378
AFother,0.872982813980703,0.80776099207657
other,0.808786824563561,0.616171682786589
AF,0.714849502292973,0.962744827735146
AFother,0.9259955734328,0.874317012405274
other,0.768786824563561,0.660939991751253
AF,0.751095752782844,0.939281158300965
AFother,0.933882858122531,0.882412445844627
other,0.808786824563561,0.740313029379881
AF,0.751095752782844,0.92192196184384
AFother,0.933514558799586,0.888228380439308
other,0.807455349125887,0.712999224092014
AF,0.751095752782844,0.894030259871348
AFother,0.933834809041483,0.892282476681723
other,0.808786824563561,0.62023797987046
AF,0.720733925623502,0.986869210431373
AFother,0.905842316169781,0.8666637385355
other,0.768786824563561,0.635864309386897
AF,0.720733925623502,0.820158130225467
AFother,0.933514558799586,0.886937046472403
other,0.768786824563561,0.661547944957072
AF,0.720733925623502,0.919981986852488
AFother,0.905842316169781,0.854238235245381
other,0.768786824563561,0.61836543712777
AF,0.745211329452315,0.94926816664931
AFother,0.9259955734328,0.886390805586654
other,0.808786824563561,0.738148746618864
AF,0.751095752782844,0.784567264861921
AFother,0.933514558799586,0.890646956365105
other,0.808786824563561,0.687797120867978
AF,0.751095752782844,0.957270845985852
AFother,0.882912748099373,0.888552249105147
other,0.808786824563561,0.687799569910471
AF,0.714849502292973,0.940498364582819
AFother,0.9259955734328,0.851929242623769
other,0.707506199051222,0.58316080142371
AF,0.751095752782844,0.916299852370343
AFother,0.933514558799586,0.891283648157387
other,0.747506199051223,0.792953531256173
AF,0.720733925623502,0.687733734533024
AFother,0.905842316169781,0.853138366879348
other,0.768786824563561,0.63217835268642
AF,0.709703539789029,0.775154022385076
AFother,0.933834809041483,0.888369766553433
other,0.768786824563561,0.648117618269943
AF,0.751095752782844,0.854494246216042
AFother,0.933514558799586,0.877743354815788
other,0.808161948264139,0.709613440320928
